,0,1
"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",40.9845,100.2087
"Site 158, Plesetsk Cosmodrome, Russia",62.9279,40.5748
"Site 16/2, Plesetsk Cosmodrome, Russia",62.9279,40.5748
"Site 161/35, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 162, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 175/58, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 175/59, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 191/66, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 1S, Vostochny Cosmodrome, Russia",51.0,128.0
"Site 200/39, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 250, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 31/6, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 32/1, Plesetsk Cosmodrome, Russia",62.9279,40.5748
"Site 32/2, Plesetsk Cosmodrome, Russia",62.9279,40.5748
"Site 35/1, Plesetsk Cosmodrome, Russia",62.9279,40.5748
"Site 370/13, Yasny Cosmodrome, Russia",51.0944,59.8424
"Site 41/1, Plesetsk Cosmodrome, Russia",62.9279,40.5748
"Site 41/15, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 43/3, Plesetsk Cosmodrome, Russia",62.9279,40.5748
"Site 43/4, Plesetsk Cosmodrome, Russia",62.9279,40.5748
"Site 45/1, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 45/2, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",40.9845,100.2087
"Site 81/23, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 81/24, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 86/1, Kapustin Yar, Russia",51.0944,59.8424
"Site 90/19, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 90/20, Baikonur Cosmodrome, Kazakhstan",45.9646,63.3052
"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",40.9845,100.2087
"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",40.9845,100.2087
"Site 95, Jiuquan Satellite Launch Center, China",40.9845,100.2087
"Stargazer, Base Aerea de Gando, Gran Canaria, Spain",27.92582963,-15.385331792
"Stargazer, Cape Canaveral AFS, Florida, USA",28.475583,-80.540556
"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9.0482,167.7431
"Stargazer, Vandenberg AFB, California, USA",34.7483,-120.51817
"Stargazer, Wallops Flight Facility, Virginia, USA",37.9367,-75.4699
"Svobodny Cosmodrome, Russia",51.0,128.0
"Tai Rui Barge, Yellow Sea",35.4943,123.7965
"Taiyuan Satellite Launch Center, China",38.8428,111.6051
"Uchinoura Space Center, Japan",31.2512,131.0761
"VLS Pad, Alc?›ntara Launch Center, Maranh?œo, Brazil",-2.0,-44.0
"Vertical Launch Area, Spaceport America, New Mexico, USA",32.9904,-106.975
"Xichang Satellite Launch Center, China",28.2,102.0
"LP-0A, Wallops Flight Facility, Virginia, USA",37.9367,-75.4699
"LP-0B, Wallops Flight Facility, Virginia, USA",37.9367,-75.4699
"LP-1, Pacific Spaceport Complex, Alaska, USA",57.0,-152.0
"LP-41, Kauai, Pacific Missile Range Facility, USA",22.0,-159.0
"Launch Plateform, Shahrud Missile Test Site, Iran",36.0,55.0
